text,source
上帝<br/>我的上帝<br/>我接受你的救恩<br/>用我的所有<br/>用我的所有<br/>为这人间的正义<br/>为这人间的正义<br/>为这人间的正义<br/>让我知道<br/>让我知道<br/>接受你的信义<br/>接受你的信义<br/>接受你的信义<br/>让我在这人世间<br/>让我在这人世间<br/>让我在这人世间<br/>接受你的信义<br/>接受你的信义<br/>接受你的信义<br/>我的上帝<br/>我的上帝<br/>上帝,p80
轻轻地<br/>推开窗<br/>让阳光<br/>洒进心房<br/>暖洋洋<br/>的春天<br/>朝我走来<br/>不再有<br/>悲伤<br/>和凄凉<br/>在这欢乐<br/>幸福<br/>时光<br/>啊<br/>愿这阳光<br/>照耀着<br/>你和我<br/>随着歌声<br/>翩翩起舞<br/>飞到那<br/>遥远地方<br/>遥远地方<br/>你是梦<br/>你是爱<br/>你是我的全部<br/>啊<br/>心中的太阳<br/>如此明亮<br/>我的生活<br/>充满阳光<br/>你是,p80
让世界<br/><br/>变得更温暖<br/><br/>它曾经那么的冰冷<br/><br/>让所有的人们都<br/><br/>面带微笑<br/><br/>而不是现在这样<br/><br/>虚伪和欺骗<br/><br/>如果不能改变命运<br/><br/>那就改变自己<br/><br/>让阳光照进<br/><br/>每个人的心里<br/><br/>啊～<br/><br/>希望之光<br/><br/>让太阳升起<br/><br/>照耀大地<br/><br/>我们是一家人<br/><br/>不分离<br/><br/>不论距离多遥远<br/><br/>不论多久<br/><br/>在阳光里我们<br/><br/>寻找着希望<br/><br/>那永恒的光<br/><br/>照亮世界<br/><br/>我们在一起<br/><br/>,p80
"I woke up in a city,That was so strange to me<br/>With cars parked way up high,And no people in sight<br/>It was like a scene,From a dream I once knew<br/>When I was a child<br/>I woke up in a city,That was so strange to me<br/>With cars parked way up high,And no people in sight<br/>It was like a scene,From a dream I once knew<br/>When I was a child<br/>（a）Shining",p80
我渴望那个季节 真正的爱情<br/>甚至从未去过那里 我将不能从那个房间出来<br/>将我在秋千上荡漾<br/>总是在这种疯狂中 梦想着坠入爱河<br/>爱情永远不回来 就像秋天到来<br/>如果你不能爱我 为什么在晚上哭泣<br/>爱 爱的感觉来了又去<br/>爱 只是感觉来了又去<br/>你在那个秋千上哭了吗？<br/>不是的<br/>我爱你<br/>我哭是因为我爱你<br/>我们不应该来这，夏洛特<br/>- 下午好,p80
我的男朋友<br/>有一个男朋友<br/>他曾说他爱我<br/>他有宽阔的肩膀<br/>所以当他拥抱我<br/>世界都颤抖<br/>他的男朋友<br/>有一个男朋友<br/>他曾说会照顾我<br/>他有英俊的脸孔<br/>所以每次看到他<br/>我都会微笑<br/>他的男朋友<br/>有一个男朋友<br/>一个爱笑的男朋友<br/>总是那么快乐<br/>而我的男朋友<br/>一个爱哭的男朋友<br/>总是那么伤心<br/>我比不上他<br/>我的男朋友<br/>他的男朋友<br/>和我说话时<br/>,p80
You know when I say my best friends you are<br/>You know when I say you walk with me<br/>You know when I say you always will be<br/>You know that I can not say no more<br/><br/>你总是告诉我你有多爱我<br/>你总是说我们是最好的朋友<br/>你总是说我们永远在一起<br/>你知道你让我不能说不<br/><br/>And I know when I need you most of all<br/>And I know when you need me too<br/>And I know when I need to talk to you<br/>,p80
01 爱情酿的酒 02 我的爱无家可归 03 不怕 04 爱情酒 05 绝情 06 我不再想你 07 偷偷爱着你 08 等待的人 09 玫瑰情话 10 爱情密码 11 你爱的不是我 12 谁叫我爱你<br/>感谢您采纳我的回答,p80
很想牵着你的手<br/><br/>走在林间的小路上<br/><br/>晚风轻拂脸庞<br/><br/>夕阳西下<br/><br/>我望着你<br/><br/>羞红的脸庞<br/><br/>心里忽然荡起层层的涟漪<br/><br/>那是我第一次见到你<br/><br/>我的爱人<br/><br/>夕阳落下了山<br/><br/>天边那颗孤星闪闪<br/><br/>就像你那调皮的眼神<br/><br/>我忍不住想吻你<br/><br/>吻你吻你<br/><br/>就在那片枫树林<br/><br/>我爱你<br/><br/>我的爱人<br/><br/>我爱你<br/><br/>,p80
All the things I want to say to you<br/>It's no matter what you do or where you are<br/>All the things I want to say to you<br/>It's no matter what you do or where you are<br/>想你 想你 想你<br/>想你 想你 想你<br/>想你 想你 想你<br/>无论你在何处 无论你做什么<br/>All the things I want to say to you<br/>It's no matter what you do or where you are<br/>All the things I want to say to,p80
黑黑的天空低垂 亮亮的繁星相随<br/>虫儿飞 虫儿飞 你在思念谁<br/><br/>浪漫的夏季已来到 荷花儿香 叶儿翠<br/>风儿吹 雨儿飘 铃儿响叮当<br/><br/>我们坐在高高的谷堆旁边<br/>听妈妈讲那过去的事情<br/><br/>那时候天还是很蓝<br/>日子总过得太慢<br/>在转眼中 过了这么多年<br/>花儿又谢了 月儿又弯了<br/>,p80
看着我<br/>你看到了什么?<br/>你看到的 是个年轻的梦想<br/>看到了一个梦想<br/>一个梦想<br/>你不理解我说的?<br/>我不理解你的思想<br/>我不理解你<br/>但我很高兴看到你<br/>很高兴看到你<br/>很高兴见到你<br/>你知道吗<br/>我有一种感觉<br/>有一种感觉<br/>我们注定要在一起<br/>我们注定要在一起<br/>你知道吗<br/>有一种感觉<br/>我很高兴见到你<br/>看着我<br/>你看到了什么?<br/>你看到的 是个年轻的梦想<br/>看到了一个梦想<br/>一个梦想<br/>你不理解我说的?<br/>我不理解,p80
迷茫的小鹿想冲破枷锁<br/>小野马想四处奔放<br/>别烦我<br/>我要走自己的路<br/>喔<br/>喔<br/>喔<br/>喔<br/>什么<br/>什么<br/>喔<br/>喔<br/>喔<br/>喔<br/>迷茫的小鹿想冲破枷锁<br/>小野马想四处奔放<br/>别烦我<br/>我要走自己的路<br/>喔<br/>喔<br/>喔<br/>喔<br/>什么<br/>什么<br/>喔<br/>喔<br/>喔<br/>喔<br/>迷茫的小鹿,p80
